flight_id,airline,flight_number,departure_airport_iata,departure_airport_city,arrival_airport_iata,arrival_airport_city,scheduled_departure,departure_delay_minutes,scheduled_arrival,arrival_delay_minutes
37,OO,5427,SFO,San Francisco,SMF,Sacramento,2025-01-01 09:06:00,0,2025-01-01 10:00:00,0
38,CY,352,SFO,San Francisco,BOS,Boston,2025-01-01 09:25:00,0,2025-01-01 17:51:00,0
39,UA,1239,LAX,Los Angeles,SFO,San Francisco,2025-01-01 09:59:00,0,2025-01-01 11:19:00,0
40,UA,1285,SFO,San Francisco,IAH,Houston,2025-01-01 09:41:00,0,2025-01-01 15:20:00,0
41,CY,753,SEA,Seattle,SFO,San Francisco,2025-01-01 09:58:00,0,2025-01-01 11:53:00,0
42,CY,956,SFO,San Francisco,SAN,San Diego,2025-01-01 09:57:00,0,2025-01-01 11:30:00,0
43,OO,5196,PDX,Portland,SFO,San Francisco,2025-01-01 09:53:00,4,2025-01-01 11:39:00,0
44,WN,2346,SFO,San Francisco,LAX,Los Angeles,2025-01-01 09:59:00,0,2025-01-01 11:17:00,0
45,OO,6400,EUG,Eugene,SFO,San Francisco,2025-01-01 10:06:00,0,2025-01-01 11:27:00,0
46,CY,23,JFK,New York,SFO,San Francisco,2025-01-01 10:21:00,0,2025-01-01 14:09:00,0
47,B6,534,SFO,San Francisco,BOS,Boston,2025-01-01 10:33:00,0,2025-01-01 18:55:00,0
48,UA,1727,BOS,Boston,SFO,San Francisco,2025-01-01 10:34:00,0,2025-01-01 13:57:00,0
49,WN,4391,LAS,Las Vegas,SFO,San Francisco,2025-01-01 10:49:00,0,2025-01-01 12:17:00,0
50,OO,5335,CEC,Crescent City,SFO,San Francisco,2025-01-01 10:25:00,0,2025-01-01 12:04:00,0
51,DL,1680,ATL,Atlanta,SFO,San Francisco,2025-01-01 10:43:00,0,2025-01-01 12:45:00,0
52,OO,6283,SFO,San Francisco,MCI,Kansas City,2025-01-01 10:38:00,154,2025-01-01 17:01:00,114
53,OO,5260,SFO,San Francisco,FAT,Fresno,2025-01-01 10:37:00,0,2025-01-01 11:39:00,0
54,OO,6249,LAS,Las Vegas,SFO,San Francisco,2025-01-01 10:48:00,0,2025-01-01 12:19:00,0
55,AA,23,SFO,San Francisco,DFW,Dallas-Fort Worth,2025-01-01 11:23:00,0,2025-01-01 17:00:00,0
56,UA,753,SFO,San Francisco,AUS,Austin,2025-01-01 10:59:00,0,2025-01-01 16:44:00,0
57,WN,4855,SFO,San Francisco,MKE,Milwaukee,2025-01-01 11:08:00,41,2025-01-01 17:33:00,26
58,DL,1845,SLC,Salt Lake City,SFO,San Francisco,2025-01-01 11:29:00,0,2025-01-01 12:06:00,0
59,UA,720,SFO,San Francisco,DEN,Denver,2025-01-01 12:46:00,50,2025-01-01 16:19:00,33
60,UA,1257,IAH,Houston,SFO,San Francisco,2025-01-01 11:30:00,0,2025-01-01 13:19:00,0
61,WN,2509,SFO,San Francisco,LAX,Los Angeles,2025-01-01 11:34:00,45,2025-01-01 13:03:00,32
62,UA,73,EWR,Newark,SFO,San Francisco,2025-01-01 12:11:00,0,2025-01-01 15:24:00,0
63,UA,364,PHX,Phoenix,SFO,San Francisco,2025-01-01 11:56:00,0,2025-01-01 13:11:00,0
64,AA,221,DFW,Dallas-Fort Worth,SFO,San Francisco,2025-01-01 11:55:00,0,2025-01-01 13:30:00,0
65,AA,2293,SFO,San Francisco,DFW,Dallas-Fort Worth,2025-01-01 12:04:00,0,2025-01-01 17:36:00,0
66,OO,5199,SFO,San Francisco,SLC,Salt Lake City,2025-01-01 12:09:00,0,2025-01-01 14:58:00,0
67,OO,6280,SLC,Salt Lake City,SFO,San Francisco,2025-01-01 12:13:00,104,2025-01-01 13:09:00,74
68,OO,6317,RNO,Reno,SFO,San Francisco,2025-01-01 12:05:00,455,2025-01-01 13:09:00,396
69,UA,864,SFO,San Francisco,EWR,Newark,2025-01-01 12:14:00,0,2025-01-01 20:38:00,0
70,OO,5400,ONT,Ontario,SFO,San Francisco,2025-01-01 12:25:00,0,2025-01-01 13:40:00,0
71,UA,236,HNL,Honolulu,SFO,San Francisco,2025-01-01 12:40:00,216,2025-01-01 19:36:00,174
72,OO,6343,SNA,Santa Ana,SFO,San Francisco,2025-01-01 12:37:00,0,2025-01-01 13:57:00,0
73,UA,1148,SFO,San Francisco,IAD,Washington,2025-01-01 13:10:00,12,2025-01-01 21:02:00,0
74,DL,432,JFK,New York,SFO,San Francisco,2025-01-01 13:00:00,0,2025-01-01 16:28:00,0
75,B6,1435,SFO,San Francisco,LGB,Long Beach,2025-01-01 13:33:00,0,2025-01-01 14:47:00,0
76,OO,6408,SFO,San Francisco,EUG,Eugene,2025-01-01 13:43:00,0,2025-01-01 15:10:00,0
77,UA,645,PDX,Portland,SFO,San Francisco,2025-01-01 13:27:00,0,2025-01-01 15:02:00,0
78,WN,1812,SFO,San Francisco,SAN,San Diego,2025-01-01 14:32:00,122,2025-01-01 15:51:00,118
79,OO,6409,SFO,San Francisco,PDX,Portland,2025-01-01 13:42:00,0,2025-01-01 15:27:00,0
80,UA,358,AUS,Austin,SFO,San Francisco,2025-01-01 14:31:00,0,2025-01-01 15:48:00,0
81,UA,1728,OGG,Kahului,SFO,San Francisco,2025-01-01 14:02:00,0,2025-01-01 20:38:00,0
82,UA,816,SEA,Seattle,SFO,San Francisco,2025-01-01 13:44:00,0,2025-01-01 15:38:00,0
83,UA,724,HNL,Honolulu,SFO,San Francisco,2025-01-01 13:59:00,0,2025-01-01 20:44:00,0
84,UA,1733,SFO,San Francisco,DEN,Denver,2025-01-01 14:38:00,0,2025-01-01 18:35:00,0
85,OO,5543,SFO,San Francisco,BOI,Boise,2025-01-01 14:27:00,0,2025-01-01 17:10:00,0
86,UA,1761,IAH,Houston,SFO,San Francisco,2025-01-01 14:55:00,0,2025-01-01 16:45:00,0
87,UA,277,DEN,Denver,SFO,San Francisco,2025-01-01 14:44:00,42,2025-01-01 16:04:00,0
88,AA,1213,DFW,Dallas-Fort Worth,SFO,San Francisco,2025-01-01 15:14:00,0,2025-01-01 16:45:00,0
89,US,407,PHX,Phoenix,SFO,San Francisco,2025-01-01 15:03:00,0,2025-01-01 16:00:00,0
90,OO,5367,SFO,San Francisco,RDM,Redmond-Bend,2025-01-01 14:52:00,0,2025-01-01 16:23:00,0
91,OO,5454,SMF,Sacramento,SFO,San Francisco,2025-01-01 15:46:00,0,2025-01-01 16:33:00,0
92,WN,2687,SFO,San Francisco,LAX,Los Angeles,2025-01-01 15:15:00,0,2025-01-01 16:35:00,0
93,CY,932,SFO,San Francisco,LAX,Los Angeles,2025-01-01 15:31:00,0,2025-01-01 16:51:00,0
94,WN,3236,SFO,San Francisco,SAN,San Diego,2025-01-01 15:56:00,0,2025-01-01 17:23:00,0
95,UA,404,IAH,Houston,SFO,San Francisco,2025-01-01 15:56:00,0,2025-01-01 17:52:00,0
96,CY,933,LAX,Los Angeles,SFO,San Francisco,2025-01-01 15:42:00,38,2025-01-01 16:51:00,0
97,US,596,SFO,San Francisco,PHX,Phoenix,2025-01-01 15:51:00,0,2025-01-01 18:52:00,0
98,AA,379,SFO,San Francisco,DFW,Dallas-Fort Worth,2025-01-01 16:04:00,0,2025-01-01 21:55:00,0
99,OO,6280,SFO,San Francisco,SNA,Santa Ana,2025-01-01 16:52:00,0,2025-01-01 18:19:00,0
100,UA,735,DEN,Denver,SFO,San Francisco,2025-01-01 17:34:00,0,2025-01-01 19:09:00,0
101,OO,5553,PDX,Portland,SFO,San Francisco,2025-01-01 16:00:00,385,2025-01-01 17:36:00,345
102,UA,73,SFO,San Francisco,HNL,Honolulu,2025-01-01 16:13:00,55,2025-01-01 19:52:00,13
103,UA,587,SEA,Seattle,SFO,San Francisco,2025-01-01 16:25:00,0,2025-01-01 18:27:00,0
104,OO,5363,SFO,San Francisco,ONT,Ontario,2025-01-01 16:09:00,0,2025-01-01 17:28:00,0
105,OO,6386,SFO,San Francisco,BOI,Boise,2025-01-01 16:12:00,76,2025-01-01 18:58:00,76
106,CY,27,JFK,New York,SFO,San Francisco,2025-01-01 16:28:00,0,2025-01-01 20:19:00,0
107,OO,5190,SFO,San Francisco,ASE,Aspen,2025-01-01 16:24:00,0,2025-01-01 19:42:00,0
108,CY,746,SFO,San Francisco,SEA,Seattle,2025-01-01 16:40:00,0,2025-01-01 18:32:00,0
109,UA,1640,SFO,San Francisco,ORD,Chicago,2025-01-01 17:01:00,0,2025-01-01 23:02:00,0
110,OO,6221,MCI,Kansas City,SFO,San Francisco,2025-01-01 17:28:00,10,2025-01-01 19:08:00,0
111,UA,486,SFO,San Francisco,LAS,Las Vegas,2025-01-01 16:47:00,0,2025-01-01 18:16:00,0
112,CY,2,DCA,Washington,SFO,San Francisco,2025-01-01 17:01:00,0,2025-01-01 20:07:00,0
113,B6,1436,LGB,Long Beach,SFO,San Francisco,2025-01-01 16:59:00,0,2025-01-01 18:35:00,0
114,WN,694,PHX,Phoenix,SFO,San Francisco,2025-01-01 17:11:00,0,2025-01-01 18:05:00,0
115,OO,5635,MMH,Mammoth Lakes,SFO,San Francisco,2025-01-01 17:00:00,0,2025-01-01 18:01:00,0
116,AS,341,PSP,Palm Springs,SFO,San Francisco,2025-01-01 18:25:00,0,2025-01-01 19:46:00,0
117,OO,6364,PSP,Palm Springs,SFO,San Francisco,2025-01-01 18:01:00,0,2025-01-01 19:31:00,0
118,OO,5418,SBP,San Luis Obispo,SFO,San Francisco,2025-01-01 17:17:00,0,2025-01-01 18:15:00,0
119,AA,197,SFO,San Francisco,ORD,Chicago,2025-01-01 17:21:00,0,2025-01-01 23:33:00,0
120,CY,720,SFO,San Francisco,DAL,Dallas,2025-01-01 18:25:00,0,2025-01-01 23:43:00,0
121,OO,6268,FAT,Fresno,SFO,San Francisco,2025-01-01 17:33:00,10,2025-01-01 18:39:00,0
122,OO,5615,SFO,San Francisco,EUG,Eugene,2025-01-01 17:45:00,0,2025-01-01 19:18:00,0
123,CY,960,SFO,San Francisco,SAN,San Diego,2025-01-01 17:55:00,0,2025-01-01 19:23:00,0
124,AA,1393,DFW,Dallas-Fort Worth,SFO,San Francisco,2025-01-01 17:51:00,0,2025-01-01 19:25:00,0
125,OO,6352,BOI,Boise,SFO,San Francisco,2025-01-01 17:58:00,0,2025-01-01 18:46:00,0
126,DL,1151,SFO,San Francisco,HNL,Honolulu,2025-01-01 17:53:00,29,2025-01-01 21:34:00,0
127,OO,5227,SFO,San Francisco,SAN,San Diego,2025-01-01 19:07:00,0,2025-01-01 20:31:00,0
128,CY,941,LAX,Los Angeles,SFO,San Francisco,2025-01-01 18:19:00,0,2025-01-01 19:34:00,0
129,UA,1044,EWR,Newark,SFO,San Francisco,2025-01-01 19:19:00,0,2025-01-01 22:53:00,0
130,CY,211,ORD,Chicago,SFO,San Francisco,2025-01-01 18:41:00,316,2025-01-01 21:14:00,264
131,UA,685,ORD,Chicago,SFO,San Francisco,2025-01-01 18:51:00,0,2025-01-01 21:04:00,0
132,UA,370,SFO,San Francisco,SEA,Seattle,2025-01-01 18:49:00,6,2025-01-01 20:41:00,0
133,UA,1433,IAH,Houston,SFO,San Francisco,2025-01-01 19:45:00,0,2025-01-01 21:39:00,0
134,UA,1172,DEN,Denver,SFO,San Francisco,2025-01-01 20:19:00,0,2025-01-01 22:37:00,0
135,CY,593,PSP,Palm Springs,SFO,San Francisco,2025-01-01 19:09:00,0,2025-01-01 20:26:00,0
136,UA,1564,SFO,San Francisco,ORD,Chicago,2025-01-01 19:14:00,0,2025-01-02 01:14:00,0
137,UA,741,ORD,Chicago,SFO,San Francisco,2025-01-01 19:18:00,0,2025-01-01 21:58:00,0
138,WN,600,SFO,San Francisco,SNA,Santa Ana,2025-01-01 19:36:00,0,2025-01-01 20:53:00,0
139,F9,664,SFO,San Francisco,DEN,Denver,2025-01-01 19:31:00,0,2025-01-01 23:13:00,0
140,OO,4995,LAS,Las Vegas,SFO,San Francisco,2025-01-01 19:18:00,0,2025-01-01 20:58:00,0
141,CY,717,DAL,Dallas,SFO,San Francisco,2025-01-01 19:31:00,57,2025-01-01 21:02:00,4
142,UA,1243,SFO,San Francisco,DEN,Denver,2025-01-01 19:38:00,0,2025-01-01 23:15:00,0
143,UA,560,IAD,Washington,SFO,San Francisco,2025-01-01 19:41:00,16,2025-01-01 22:29:00,0
144,WN,2791,LAX,Los Angeles,SFO,San Francisco,2025-01-01 19:45:00,0,2025-01-01 20:57:00,0
145,WN,2079,SAN,San Diego,SFO,San Francisco,2025-01-01 21:03:00,0,2025-01-01 22:33:00,0
146,OO,6356,SFO,San Francisco,SLC,Salt Lake City,2025-01-01 19:57:00,0,2025-01-01 22:49:00,0
147,OO,6290,PSP,Palm Springs,SFO,San Francisco,2025-01-01 19:48:00,0,2025-01-01 21:12:00,0
148,OO,5363,ONT,Ontario,SFO,San Francisco,2025-01-01 20:27:00,0,2025-01-01 21:54:00,0
149,OO,5206,SFO,San Francisco,PHX,Phoenix,2025-01-01 20:12:00,0,2025-01-01 23:05:00,0
150,B6,1136,LGB,Long Beach,SFO,San Francisco,2025-01-01 20:41:00,0,2025-01-01 21:56:00,0
151,US,736,PHX,Phoenix,SFO,San Francisco,2025-01-01 21:12:00,50,2025-01-01 22:11:00,9
152,AA,1611,DFW,Dallas-Fort Worth,SFO,San Francisco,2025-01-01 21:42:00,0,2025-01-01 23:37:00,0
153,UA,1241,SFO,San Francisco,EWR,Newark,2025-01-01 21:44:00,0,2025-01-02 05:55:00,0
154,UA,1726,OGG,Kahului,SFO,San Francisco,2025-01-01 22:19:00,0,2025-01-02 04:56:00,0
155,US,898,SFO,San Francisco,CLT,Charlotte,2025-01-01 22:29:00,0,2025-01-02 06:18:00,0
156,UA,1669,SFO,San Francisco,PHL,Philadelphia,2025-01-01 22:26:00,0,2025-01-02 06:30:00,0
157,UA,362,SFO,San Francisco,BWI,Baltimore,2025-01-01 22:31:00,0,2025-01-02 06:36:00,0
158,OO,6220,SFO,San Francisco,RNO,Reno,2025-01-01 22:25:00,16,2025-01-01 23:23:00,4
159,OO,6376,SFO,San Francisco,MRY,Monterey,2025-01-01 22:35:00,0,2025-01-01 23:19:00,0
160,UA,522,SFO,San Francisco,PDX,Portland,2025-01-01 22:36:00,0,2025-01-02 00:31:00,0
161,UA,1728,SFO,San Francisco,BOS,Boston,2025-01-01 22:46:00,0,2025-01-02 07:20:00,0
162,UA,724,SFO,San Francisco,LAX,Los Angeles,2025-01-01 22:45:00,0,2025-01-02 00:29:00,0
163,UA,1681,SFO,San Francisco,CLE,Cleveland,2025-01-01 23:03:00,0,2025-01-02 06:45:00,0
164,UA,1580,OGG,Kahului,SFO,San Francisco,2025-01-01 23:24:00,0,2025-01-02 06:07:00,0
165,DL,806,SFO,San Francisco,MSP,Minneapolis,2025-01-02 00:22:00,0,2025-01-02 05:57:00,0
166,OO,5467,ONT,Ontario,SFO,San Francisco,2025-01-02 05:02:00,0,2025-01-02 06:18:00,0
167,WN,1989,SFO,San Francisco,LAS,Las Vegas,2025-01-02 05:35:00,0,2025-01-02 06:46:00,0
168,UA,1619,BOS,Boston,SFO,San Francisco,2025-01-02 05:56:00,195,2025-01-02 09:56:00,169
169,UA,1076,SFO,San Francisco,ORD,Chicago,2025-01-02 05:58:00,0,2025-01-02 12:00:00,0
170,F9,1056,SFO,San Francisco,IAH,Houston,2025-01-02 05:59:00,0,2025-01-02 12:09:00,0
171,WN,2242,LAX,Los Angeles,SFO,San Francisco,2025-01-02 06:22:00,0,2025-01-02 07:36:00,0
172,B6,735,SFO,San Francisco,LGB,Long Beach,2025-01-02 06:01:00,0,2025-01-02 07:20:00,0
173,WN,3859,SFO,San Francisco,MDW,Chicago,2025-01-02 06:27:00,0,2025-01-02 12:26:00,0
174,UA,1285,SFO,San Francisco,ORD,Chicago,2025-01-02 06:43:00,0,2025-01-02 12:47:00,0
175,WN,1726,SFO,San Francisco,PHX,Phoenix,2025-01-02 06:32:00,0,2025-01-02 09:20:00,0
176,OO,5186,SFO,San Francisco,SAN,San Diego,2025-01-02 06:25:00,28,2025-01-02 07:59:00,0
177,UA,566,PIT,Pittsburgh,SFO,San Francisco,2025-01-02 07:15:00,0,2025-01-02 09:46:00,0
178,UA,1195,MCO,Orlando,SFO,San Francisco,2025-01-02 07:18:00,0,2025-01-02 10:05:00,0
179,CY,925,LAX,Los Angeles,SFO,San Francisco,2025-01-02 06:57:00,0,2025-01-02 08:07:00,0
180,UA,761,ORD,Chicago,SFO,San Francisco,2025-01-02 07:07:00,25,2025-01-02 09:34:00,0
181,UA,758,SFO,San Francisco,JFK,New York,2025-01-02 07:07:00,0,2025-01-02 15:53:00,0
182,CY,67,IAD,Washington,SFO,San Francisco,2025-01-02 07:07:00,0,2025-01-02 10:00:00,0
183,UA,706,SEA,Seattle,SFO,San Francisco,2025-01-02 07:05:00,0,2025-01-02 08:59:00,0
184,OO,5441,SFO,San Francisco,SBP,San Luis Obispo,2025-01-02 07:06:00,0,2025-01-02 08:11:00,0
185,CY,202,SFO,San Francisco,ORD,Chicago,2025-01-02 07:18:00,0,2025-01-02 13:23:00,0
186,CY,710,SFO,San Francisco,DAL,Dallas,2025-01-02 07:16:00,0,2025-01-02 12:43:00,0
187,AA,24,SFO,San Francisco,JFK,New York,2025-01-02 07:06:00,0,2025-01-02 15:29:00,0
188,UA,72,HNL,Honolulu,SFO,San Francisco,2025-01-02 07:28:00,102,2025-01-02 14:20:00,94
189,UA,1278,ATL,Atlanta,SFO,San Francisco,2025-01-02 07:30:00,42,2025-01-02 09:41:00,42
190,UA,498,SFO,San Francisco,SAN,San Diego,2025-01-02 07:20:00,0,2025-01-02 08:38:00,0
191,CY,183,EWR,Newark,SFO,San Francisco,2025-01-02 07:26:00,206,2025-01-02 10:51:00,206
192,AA,76,SFO,San Francisco,LAX,Los Angeles,2025-01-02 07:22:00,0,2025-01-02 08:44:00,0
193,WN,2325,DEN,Denver,SFO,San Francisco,2025-01-02 07:40:00,0,2025-01-02 09:03:00,0
194,WN,1545,LAX,Los Angeles,SFO,San Francisco,2025-01-02 07:48:00,0,2025-01-02 09:02:00,0
195,OO,5196,SFO,San Francisco,PDX,Portland,2025-01-02 07:46:00,0,2025-01-02 09:32:00,0
196,UA,1053,DEN,Denver,SFO,San Francisco,2025-01-02 08:06:00,0,2025-01-02 09:41:00,0
197,AA,23,DFW,Dallas-Fort Worth,SFO,San Francisco,2025-01-02 07:53:00,0,2025-01-02 09:26:00,0
198,UA,322,SNA,Santa Ana,SFO,San Francisco,2025-01-02 07:53:00,0,2025-01-02 09:17:00,0
199,UA,500,IND,Indianapolis,SFO,San Francisco,2025-01-02 08:02:00,0,2025-01-02 09:46:00,0
200,UA,662,SAN,San Diego,SFO,San Francisco,2025-01-02 08:51:00,0,2025-01-02 10:38:00,0
201,UA,834,LAS,Las Vegas,SFO,San Francisco,2025-01-02 07:51:00,0,2025-01-02 09:17:00,0
202,CY,1930,SFO,San Francisco,LAX,Los Angeles,2025-01-02 07:58:00,0,2025-01-02 09:29:00,0
203,UA,1454,ORD,Chicago,SFO,San Francisco,2025-01-02 08:09:00,3,2025-01-02 10:54:00,0
204,AA,1368,SFO,San Francisco,DFW,Dallas-Fort Worth,2025-01-02 08:11:00,42,2025-01-02 13:35:00,15
205,UA,460,LAX,Los Angeles,SFO,San Francisco,2025-01-02 08:22:00,0,2025-01-02 09:53:00,0
206,UA,1547,SFO,San Francisco,BOS,Boston,2025-01-02 08:30:00,10,2025-01-02 16:52:00,0
207,AA,242,SFO,San Francisco,ORD,Chicago,2025-01-02 08:28:00,35,2025-01-02 14:41:00,12
208,OO,5538,MFR,Medford,SFO,San Francisco,2025-01-02 08:15:00,0,2025-01-02 09:44:00,0
209,UA,1739,SFO,San Francisco,EWR,Newark,2025-01-02 08:56:00,0,2025-01-02 17:03:00,0
210,DL,745,DTW,Detroit,SFO,San Francisco,2025-01-02 08:36:00,269,2025-01-02 10:43:00,242
211,OO,5445,SFO,San Francisco,SBP,San Luis Obispo,2025-01-02 10:35:00,0,2025-01-02 11:50:00,0
212,OO,5223,SLC,Salt Lake City,SFO,San Francisco,2025-01-02 08:52:00,0,2025-01-02 09:50:00,0
213,UA,1615,SFO,San Francisco,IAD,Washington,2025-01-02 08:44:00,0,2025-01-02 16:41:00,0
214,AA,1435,ORD,Chicago,SFO,San Francisco,2025-01-02 08:43:00,0,2025-01-02 11:08:00,0
215,HA,11,SFO,San Francisco,HNL,Honolulu,2025-01-02 09:28:00,0,2025-01-02 13:38:00,0
216,OO,6373,SFO,San Francisco,DFW,Dallas-Fort Worth,2025-01-02 08:51:00,0,2025-01-02 14:40:00,0
217,UA,479,SFO,San Francisco,LAX,Los Angeles,2025-01-02 11:15:00,0,2025-01-02 12:47:00,0
218,UA,361,SFO,San Francisco,LIH,Lihue,2025-01-02 09:33:00,0,2025-01-02 13:10:00,0
219,WN,2074,SFO,San Francisco,SNA,Santa Ana,2025-01-02 09:08:00,0,2025-01-02 10:18:00,0
220,CY,84,SFO,San Francisco,IAD,Washington,2025-01-02 09:20:00,0,2025-01-02 17:25:00,0
221,WN,2969,SAN,San Diego,SFO,San Francisco,2025-01-02 09:35:00,46,2025-01-02 10:59:00,36
222,UA,1249,SFO,San Francisco,MCO,Orlando,2025-01-02 10:10:00,0,2025-01-02 18:15:00,0
223,WN,1820,SFO,San Francisco,LAS,Las Vegas,2025-01-02 09:52:00,55,2025-01-02 11:19:00,45
224,WN,2414,SFO,San Francisco,PHX,Phoenix,2025-01-02 09:57:00,0,2025-01-02 12:52:00,0
225,UA,698,SEA,Seattle,SFO,San Francisco,2025-01-02 09:54:00,0,2025-01-02 11:59:00,0
226,AS,303,SFO,San Francisco,SEA,Seattle,2025-01-02 10:06:00,47,2025-01-02 12:11:00,0
227,WN,3323,SFO,San Francisco,DEN,Denver,2025-01-02 10:40:00,0,2025-01-02 13:59:00,0
228,OO,6286,SBA,Santa Barbara,SFO,San Francisco,2025-01-02 10:23:00,0,2025-01-02 11:47:00,0
229,OO,5603,PHX,Phoenix,SFO,San Francisco,2025-01-02 10:29:00,0,2025-01-02 11:41:00,0
230,CY,218,SFO,San Francisco,AUS,Austin,2025-01-02 10:28:00,0,2025-01-02 15:56:00,0
231,OO,5335,CEC,Crescent City,SFO,San Francisco,2025-01-02 10:32:00,0,2025-01-02 12:09:00,0
232,OO,5646,SFO,San Francisco,SBA,Santa Barbara,2025-01-02 10:33:00,0,2025-01-02 11:54:00,0
233,OO,5635,SFO,San Francisco,SNA,Santa Ana,2025-01-02 11:22:00,1,2025-01-02 12:55:00,0
234,OO,6380,SFO,San Francisco,BOI,Boise,2025-01-02 10:41:00,0,2025-01-02 13:18:00,0
235,UA,662,SFO,San Francisco,MSP,Minneapolis,2025-01-02 10:52:00,0,2025-01-02 16:39:00,0
236,OO,6270,SFO,San Francisco,RNO,Reno,2025-01-02 10:43:00,6,2025-01-02 11:52:00,0
237,OO,4975,SFO,San Francisco,TUS,Tucson,2025-01-02 12:23:00,53,2025-01-02 15:18:00,16
238,UA,322,SFO,San Francisco,SEA,Seattle,2025-01-02 10:49:00,0,2025-01-02 12:54:00,0
239,WN,1009,LAX,Los Angeles,SFO,San Francisco,2025-01-02 11:33:00,0,2025-01-02 12:45:00,0
240,OO,4966,SFO,San Francisco,SUN,Hailey,2025-01-02 11:11:00,155,2025-01-02 14:15:00,147
